question_id,model_name,avg_score,question
1886,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1887,claude37,0.818,NODAL SITE(S) EXAMINED
1888,claude37,0.72,NUMBER OF LYMPH NODES WITH TUMOR
1889,claude37,0.814,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1890,claude37,0.82,NODAL SITE(S) WITH TUMOR
1891,claude37,0.74,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1892,claude37,0.76,REGIONAL LYMPH NODE STATUS
1893,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
1894,claude37,0.782,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1895,claude37,0.694,NUMBER OF LYMPH NODES EXAMINED
1896,claude37,0.704,TUMOR FOCALITY
1897,claude37,0.698,TUMOR SITE
1898,claude37,0.778,VISCERAL PLEURA INVASION
1899,claude37,0.724,PROCEDURE
1900,claude37,0.693,MARGIN STATUS FOR INVASIVE CARCINOMA
1901,claude37,0.882,REGIONAL LYMPH NODE STATUS
1902,claude37,0.698,SPECIMEN LATERALITY
1903,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1904,claude37,0.793,PROCEDURE
1905,claude37,0.751,TUMOR SITE
1906,claude37,0.811,TUMOR FOCALITY
1907,claude37,0.713,NUMBER OF LYMPH NODES EXAMINED
1908,claude37,0.799,NODAL SITE(S) EXAMINED
1909,claude37,0.792,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1910,claude37,0.778,VISCERAL PLEURA INVASION
1911,claude37,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
1912,claude37,0.76,HISTOLOGIC GRADE
1913,claude37,0.697,SPECIMEN LATERALITY
1914,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1915,claude37,0.816,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1916,claude37,0.841,REGIONAL LYMPH NODE STATUS
1917,claude37,0.878,NODAL SITE(S) EXAMINED
1918,claude37,0.78,VISCERAL PLEURA INVASION
1919,claude37,0.893,TUMOR SITE
1920,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1921,claude37,0.829,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1922,claude37,0.78,SPREAD THROUGH AIR SPACES (STAS)
1923,claude37,0.788,PROCEDURE
1924,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1925,claude37,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
1926,claude37,0.811,TUMOR FOCALITY
1927,claude37,0.783,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1928,claude37,0.788,HISTOLOGIC GRADE
1929,claude37,0.815,REGIONAL LYMPH NODE STATUS
1930,claude37,0.698,SPECIMEN LATERALITY
1931,claude37,0.788,PROCEDURE
1932,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
1933,claude37,0.808,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1934,claude37,0.826,TUMOR FOCALITY
1935,claude37,0.687,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1936,claude37,0.804,NODAL SITE(S) EXAMINED
1937,claude37,0.869,ADDITIONAL FINDINGS
1938,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1939,claude37,0.778,VISCERAL PLEURA INVASION
1940,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1941,claude37,0.888,TUMOR SITE
1942,claude37,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
1943,claude37,0.771,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1944,claude37,0.887,TUMOR SITE
1945,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1946,claude37,0.697,SPECIMEN LATERALITY
1947,claude37,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1948,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
1949,claude37,0.904,HISTOLOGIC GRADE
1950,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1951,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1952,claude37,0.778,VISCERAL PLEURA INVASION
1953,claude37,0.72,NUMBER OF LYMPH NODES EXAMINED
1954,claude37,0.811,TUMOR FOCALITY
1955,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1956,claude37,0.87,NODAL SITE(S) EXAMINED
1957,claude37,0.735,REGIONAL LYMPH NODE STATUS
1958,claude37,0.827,PROCEDURE
1959,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1960,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
1961,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
1962,claude37,0.782,HISTOLOGIC GRADE
1963,claude37,0.833,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1964,claude37,0.695,NUMBER OF LYMPH NODES EXAMINED
1965,claude37,0.697,SPECIMEN LATERALITY
1966,claude37,0.78,SPREAD THROUGH AIR SPACES (STAS)
1967,claude37,0.887,TUMOR SITE
1968,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1969,claude37,0.787,REGIONAL LYMPH NODE STATUS
1970,claude37,0.811,TUMOR FOCALITY
1971,claude37,0.831,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1972,claude37,0.788,PROCEDURE
1973,claude37,0.85,NODAL SITE(S) EXAMINED
1974,claude37,0.778,VISCERAL PLEURA INVASION
1975,claude37,0.89,TUMOR SITE
1976,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1977,claude37,0.697,SPECIMEN LATERALITY
1978,claude37,0.726,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
1979,claude37,0.788,PROCEDURE
1980,claude37,0.76,NODAL SITE(S) EXAMINED
1981,claude37,0.709,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
1982,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
1983,claude37,0.811,TUMOR FOCALITY
1984,claude37,0.705,NUMBER OF LYMPH NODES EXAMINED
1985,claude37,0.822,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
1986,claude37,0.778,VISCERAL PLEURA INVASION
1987,claude37,0.683,LYMPH NODE(S) FROM PRIOR PROCEDURES
1988,claude37,0.745,LYMPHOVASCULAR INVASION
1989,claude37,0.72,NUMBER OF LYMPH NODES WITH TUMOR
1990,claude37,0.704,REGIONAL LYMPH NODE STATUS
1991,claude37,0.725,NODAL SITE(S) WITH TUMOR
1992,claude37,0.811,TUMOR FOCALITY
1993,claude37,0.778,VISCERAL PLEURA INVASION
1994,claude37,0.734,NODAL SITE(S) EXAMINED
1995,claude37,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
1996,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
1997,claude37,0.782,HISTOLOGIC GRADE
1998,claude37,0.827,PROCEDURE
1999,claude37,0.697,SPECIMEN LATERALITY
2000,claude37,0.887,TUMOR SITE
2001,claude37,0.815,REGIONAL LYMPH NODE STATUS
2002,claude37,0.821,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2003,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2004,claude37,0.754,ADDITIONAL FINDINGS
2005,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2006,claude37,0.697,NUMBER OF LYMPH NODES EXAMINED
2007,claude37,0.82,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2008,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2009,claude37,0.681,TUMOR SITE
2010,claude37,0.811,TUMOR FOCALITY
2011,claude37,0.722,TNM DESCRIPTORS
2012,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2013,claude37,0.786,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2014,claude37,0.788,HISTOLOGIC GRADE
2015,claude37,0.698,SPECIMEN LATERALITY
2016,claude37,0.72,NUMBER OF LYMPH NODES EXAMINED
2017,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2018,claude37,0.778,VISCERAL PLEURA INVASION
2019,claude37,0.775,REGIONAL LYMPH NODE STATUS
2020,claude37,0.666,ADDITIONAL FINDINGS
2021,claude37,0.778,NODAL SITE(S) EXAMINED
2022,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2023,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2024,claude37,0.781,PROCEDURE
2025,claude37,0.793,PROCEDURE
2026,claude37,0.811,TUMOR FOCALITY
2027,claude37,0.834,NODAL SITE(S) EXAMINED
2028,claude37,0.679,ADDITIONAL FINDINGS
2029,claude37,0.778,VISCERAL PLEURA INVASION
2030,claude37,0.697,SPECIMEN LATERALITY
2031,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2032,claude37,0.823,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2033,claude37,0.75,TUMOR SITE
2034,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2035,claude37,0.698,SPREAD THROUGH AIR SPACES (STAS)
2036,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2037,claude37,0.815,REGIONAL LYMPH NODE STATUS
2038,claude37,0.901,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2039,claude37,0.923,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2040,claude37,0.782,HISTOLOGIC GRADE
2041,claude37,0.888,TUMOR SITE
2042,claude37,0.778,VISCERAL PLEURA INVASION
2043,claude37,0.811,ADDITIONAL FINDINGS
2044,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2045,claude37,0.788,HISTOLOGIC GRADE
2046,claude37,0.765,NODAL SITE(S) EXAMINED
2047,claude37,0.698,SPECIMEN LATERALITY
2048,claude37,0.683,LYMPH NODE(S) FROM PRIOR PROCEDURES
2049,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2050,claude37,0.702,NUMBER OF LYMPH NODES EXAMINED
2051,claude37,0.821,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2052,claude37,0.751,REGIONAL LYMPH NODE STATUS
2053,claude37,0.788,PROCEDURE
2054,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2055,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2056,claude37,0.837,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2057,claude37,0.811,TUMOR FOCALITY
2058,claude37,0.824,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2059,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2060,claude37,0.811,TUMOR FOCALITY
2061,claude37,0.888,TUMOR SITE
2062,claude37,0.698,SPECIMEN LATERALITY
2063,claude37,0.687,LYMPHOVASCULAR INVASION
2064,claude37,0.771,MARGIN STATUS FOR INVASIVE CARCINOMA
2065,claude37,0.703,NUMBER OF LYMPH NODES EXAMINED
2066,claude37,0.782,HISTOLOGIC GRADE
2067,claude37,0.809,NODAL SITE(S) EXAMINED
2068,claude37,0.778,VISCERAL PLEURA INVASION
2069,claude37,0.797,PROCEDURE
2070,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2071,claude37,0.698,SPREAD THROUGH AIR SPACES (STAS)
2072,claude37,0.725,TNM DESCRIPTORS
2073,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2074,claude37,0.855,NODAL SITE(S) EXAMINED
2075,claude37,0.72,NUMBER OF LYMPH NODES WITH TUMOR
2076,claude37,0.778,VISCERAL PLEURA INVASION
2077,claude37,0.787,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2078,claude37,0.797,TUMOR SITE
2079,claude37,0.701,HISTOLOGIC GRADE
2080,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2081,claude37,0.753,REGIONAL LYMPH NODE STATUS
2082,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2083,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2084,claude37,0.708,TUMOR FOCALITY
2085,claude37,0.767,TNM DESCRIPTORS
2086,claude37,0.697,SPECIMEN LATERALITY
2087,claude37,0.733,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2088,claude37,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2089,claude37,0.815,NODAL SITE(S) WITH TUMOR
2090,claude37,0.738,PROCEDURE
2091,claude37,0.824,TUMOR SITE
2092,claude37,0.811,TUMOR FOCALITY
2093,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2094,claude37,0.778,VISCERAL PLEURA INVASION
2095,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2096,claude37,0.838,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2097,claude37,0.837,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2098,claude37,0.843,NODAL SITE(S) EXAMINED
2099,claude37,0.793,PROCEDURE
2100,claude37,0.815,REGIONAL LYMPH NODE STATUS
2101,claude37,0.698,SPECIMEN LATERALITY
2102,claude37,0.782,HISTOLOGIC GRADE
2103,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2104,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2105,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2106,claude37,0.803,NODAL SITE(S) EXAMINED
2107,claude37,0.698,VISCERAL PLEURA INVASION
2108,claude37,0.817,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2109,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2110,claude37,0.72,PROCEDURE
2111,claude37,0.808,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2112,claude37,0.811,TUMOR FOCALITY
2113,claude37,0.698,LYMPHOVASCULAR INVASION
2114,claude37,0.698,SPECIMEN LATERALITY
2115,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2116,claude37,0.734,NUMBER OF LYMPH NODES EXAMINED
2117,claude37,0.786,TUMOR SITE
2118,claude37,0.736,HISTOLOGIC GRADE
2119,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2120,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2121,claude37,0.815,REGIONAL LYMPH NODE STATUS
2122,claude37,0.754,ADDITIONAL FINDINGS
2123,claude37,0.811,TUMOR FOCALITY
2124,claude37,0.725,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2125,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2126,claude37,0.816,NODAL SITE(S) EXAMINED
2127,claude37,0.777,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2128,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2129,claude37,0.822,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2130,claude37,0.698,SPREAD THROUGH AIR SPACES (STAS)
2131,claude37,0.788,PROCEDURE
2132,claude37,0.78,VISCERAL PLEURA INVASION
2133,claude37,0.698,SPECIMEN LATERALITY
2134,claude37,0.691,NUMBER OF LYMPH NODES EXAMINED
2135,claude37,0.892,HISTOLOGIC GRADE
2136,claude37,0.789,REGIONAL LYMPH NODE STATUS
2137,claude37,0.89,TUMOR SITE
2138,claude37,0.778,VISCERAL PLEURA INVASION
2139,claude37,0.788,PROCEDURE
2140,claude37,0.782,HISTOLOGIC GRADE
2141,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2142,claude37,0.829,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2143,claude37,0.89,TUMOR SITE
2144,claude37,0.816,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2145,claude37,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2146,claude37,0.697,SPECIMEN LATERALITY
2147,claude37,0.815,REGIONAL LYMPH NODE STATUS
2148,claude37,0.811,TUMOR FOCALITY
2149,claude37,0.83,NODAL SITE(S) EXAMINED
2150,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2151,claude37,0.789,ADDITIONAL FINDINGS
2152,claude37,0.699,NUMBER OF LYMPH NODES EXAMINED
2153,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2154,claude37,0.811,TUMOR FOCALITY
2155,claude37,0.827,PROCEDURE
2156,claude37,0.893,TUMOR SITE
2157,claude37,0.782,HISTOLOGIC GRADE
2158,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2159,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2160,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2161,claude37,0.843,NODAL SITE(S) EXAMINED
2162,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2163,claude37,0.829,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2164,claude37,0.815,REGIONAL LYMPH NODE STATUS
2165,claude37,0.697,SPECIMEN LATERALITY
2166,claude37,0.758,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2167,claude37,0.778,VISCERAL PLEURA INVASION
2168,claude37,0.835,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2169,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2170,claude37,0.778,VISCERAL PLEURA INVASION
2171,claude37,0.788,PROCEDURE
2172,claude37,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2173,claude37,0.744,NUMBER OF LYMPH NODES EXAMINED
2174,claude37,0.811,TUMOR FOCALITY
2175,claude37,0.89,TUMOR SITE
2176,claude37,0.903,ADDITIONAL FINDINGS
2177,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2178,claude37,0.698,SPECIMEN LATERALITY
2179,claude37,0.773,REGIONAL LYMPH NODE STATUS
2180,claude37,0.78,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2181,claude37,0.754,NODAL SITE(S) EXAMINED
2182,claude37,0.736,HISTOLOGIC GRADE
2183,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2184,claude37,0.703,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2185,claude37,0.657,LYMPHOVASCULAR INVASION
2186,claude37,0.698,SPECIMEN LATERALITY
2187,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2188,claude37,0.843,ADDITIONAL FINDINGS
2189,claude37,0.827,PROCEDURE
2190,claude37,0.692,LYMPH NODE(S) FROM PRIOR PROCEDURES
2191,claude37,0.72,NODAL SITE(S) EXAMINED
2192,claude37,0.678,TNM DESCRIPTORS
2193,claude37,0.78,VISCERAL PLEURA INVASION
2194,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2195,claude37,0.869,NODAL SITE(S) WITH TUMOR
2196,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2197,claude37,0.678,TUMOR FOCALITY
2198,claude37,0.89,TUMOR SITE
2199,claude37,0.719,REGIONAL LYMPH NODE STATUS
2200,claude37,0.82,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2201,claude37,0.853,ADDITIONAL FINDINGS
2202,claude37,0.728,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2203,claude37,0.727,NODAL SITE(S) EXAMINED
2204,claude37,0.778,VISCERAL PLEURA INVASION
2205,claude37,0.788,PROCEDURE
2206,claude37,0.815,REGIONAL LYMPH NODE STATUS
2207,claude37,0.726,TNM DESCRIPTORS
2208,claude37,0.794,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2209,claude37,0.904,HISTOLOGIC GRADE
2210,claude37,0.888,MARGIN STATUS FOR NON-INVASIVE TUMOR
2211,claude37,0.766,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2212,claude37,0.728,TUMOR FOCALITY
2213,claude37,0.697,SPECIMEN LATERALITY
2214,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2215,claude37,0.89,TUMOR SITE
2216,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2217,claude37,0.887,TUMOR SITE
2218,claude37,0.742,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2219,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2220,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2221,claude37,0.827,PROCEDURE
2222,claude37,0.815,REGIONAL LYMPH NODE STATUS
2223,claude37,0.805,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2224,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2225,claude37,0.782,HISTOLOGIC GRADE
2226,claude37,0.778,VISCERAL PLEURA INVASION
2227,claude37,0.811,TUMOR FOCALITY
2228,claude37,0.865,NODAL SITE(S) EXAMINED
2229,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2230,claude37,0.7,NUMBER OF LYMPH NODES EXAMINED
2231,claude37,0.697,SPECIMEN LATERALITY
2232,claude37,0.731,REGIONAL LYMPH NODE STATUS
2233,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2234,claude37,0.892,HISTOLOGIC GRADE
2235,claude37,0.752,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2236,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2237,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2238,claude37,0.811,TUMOR FOCALITY
2239,claude37,0.838,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2240,claude37,0.788,PROCEDURE
2241,claude37,0.704,NUMBER OF LYMPH NODES EXAMINED
2242,claude37,0.697,SPECIMEN LATERALITY
2243,claude37,0.887,TUMOR SITE
2244,claude37,0.816,NODAL SITE(S) EXAMINED
2245,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2246,claude37,0.778,VISCERAL PLEURA INVASION
2247,claude37,0.713,LYMPHOVASCULAR INVASION
2248,claude37,0.734,PROCEDURE
2249,claude37,0.698,NUMBER OF LYMPH NODES WITH TUMOR
2250,claude37,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
2251,claude37,0.729,TUMOR SITE
2252,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2253,claude37,0.76,HISTOLOGIC GRADE
2254,claude37,0.82,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2255,claude37,0.742,MARGIN STATUS FOR INVASIVE CARCINOMA
2256,claude37,0.731,REGIONAL LYMPH NODE STATUS
2257,claude37,0.727,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2258,claude37,0.796,NODAL SITE(S) EXAMINED
2259,claude37,0.698,SPECIMEN LATERALITY
2260,claude37,0.708,TUMOR FOCALITY
2261,claude37,0.782,ADDITIONAL FINDINGS
2262,claude37,0.698,SPREAD THROUGH AIR SPACES (STAS)
2263,claude37,0.729,MARGIN STATUS FOR NON-INVASIVE TUMOR
2264,claude37,0.714,NUMBER OF LYMPH NODES EXAMINED
2265,claude37,0.698,VISCERAL PLEURA INVASION
2266,claude37,0.795,TNM DESCRIPTORS
2267,claude37,0.798,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2268,claude37,0.887,TUMOR SITE
2269,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2270,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2271,claude37,0.781,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2272,claude37,0.762,ADDITIONAL FINDINGS
2273,claude37,0.815,NODAL SITE(S) EXAMINED
2274,claude37,0.827,PROCEDURE
2275,claude37,0.744,HISTOLOGIC GRADE
2276,claude37,0.78,SPREAD THROUGH AIR SPACES (STAS)
2277,claude37,0.869,TUMOR SITE
2278,claude37,0.811,TUMOR FOCALITY
2279,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2280,claude37,0.817,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2281,claude37,0.697,SPECIMEN LATERALITY
2282,claude37,0.78,VISCERAL PLEURA INVASION
2283,claude37,0.735,REGIONAL LYMPH NODE STATUS
2284,claude37,0.76,MARGIN STATUS FOR INVASIVE CARCINOMA
2285,claude37,0.697,SPECIMEN LATERALITY
2286,claude37,0.76,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2287,claude37,0.778,VISCERAL PLEURA INVASION
2288,claude37,0.677,HISTOLOGIC GRADE
2289,claude37,0.893,TUMOR SITE
2290,claude37,0.741,NODAL SITE(S) EXAMINED
2291,claude37,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
2292,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2293,claude37,0.815,REGIONAL LYMPH NODE STATUS
2294,claude37,0.683,LYMPH NODE(S) FROM PRIOR PROCEDURES
2295,claude37,0.788,PROCEDURE
2296,claude37,0.811,TUMOR FOCALITY
2297,claude37,0.901,NODAL SITE(S) WITH TUMOR
2298,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2299,claude37,0.829,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2300,claude37,0.816,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2301,claude37,0.745,LYMPHOVASCULAR INVASION
2302,claude37,0.698,SPECIMEN LATERALITY
2303,claude37,0.705,TUMOR SITE
2304,claude37,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
2305,claude37,0.778,VISCERAL PLEURA INVASION
2306,claude37,0.811,TUMOR FOCALITY
2307,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2308,claude37,0.705,NUMBER OF LYMPH NODES EXAMINED
2309,claude37,0.75,REGIONAL LYMPH NODE STATUS
2310,claude37,0.76,HISTOLOGIC GRADE
2311,claude37,0.801,NODAL SITE(S) EXAMINED
2312,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2313,claude37,0.713,NUMBER OF LYMPH NODES WITH TUMOR
2314,claude37,0.793,PROCEDURE
2315,claude37,0.778,VISCERAL PLEURA INVASION
2316,claude37,0.815,REGIONAL LYMPH NODE STATUS
2317,claude37,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
2318,claude37,0.764,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
2319,claude37,0.731,NODAL SITE(S) EXAMINED
2320,claude37,0.763,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
2321,claude37,0.626,TUMOR SITE
2322,claude37,0.827,PROCEDURE
2323,claude37,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
2324,claude37,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
2325,claude37,0.838,ADDITIONAL FINDINGS
2326,claude37,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
2327,claude37,0.778,SPREAD THROUGH AIR SPACES (STAS)
2328,claude37,0.712,HISTOLOGIC GRADE
2329,claude37,0.697,SPECIMEN LATERALITY
2330,claude37,0.713,NUMBER OF LYMPH NODES EXAMINED
2331,claude37,0.841,TUMOR FOCALITY
2332,claude37,0.713,NODAL SITE(S) EXAMINED
